OrderID,Status
order-8cacb48a-6a1e-42de-abe2-cf6092a48af2,RETURNED
order-f696bafe-acd9-4985-a4ad-05da86cc8268,RETURNED
order-3c18c650-b023-4b3e-bc03-e6ae455329ff,RETURNED
order-6b940800-f65e-4717-ac18-bd12e0e91400,RETURNED
order-766719c3-2fe4-4fc9-8d44-26c10a575ea2,RETURNED
order-b907a311-240c-4d3d-a7b6-9af66bbab758,RETURNED
order-064459d9-d81d-4410-9320-8097de3804e1,RETURNED
order-e31cc2fa-31c1-4cd8-a78b-53e9a5da78b2,RETURNED
order-2b1dd889-0702-45dc-a2f9-6a1c9fd3e738,RETURNED
order-c51aca32-1435-456e-a890-abe7e22626d2,RETURNED
order-0d2e9495-c37a-4d9a-94b6-0bdbd90b8190,RETURNED
order-a5f95e0d-e2a3-4d3d-8b96-ec8caf3c509a,RETURNED
order-33677257-805a-4b99-b41d-a32517d2ac26,RETURNED
order-5d4f7bd9-b6c8-42e6-b345-31da3db5bdc5,RETURNED
order-7b3a6b73-80c1-467a-a283-6efc5d751c57,RETURNED
order-c44c159c-dabc-47df-ae35-43658617f053,RETURNED
order-5a843fb3-7af6-4053-ab31-03bd5c17937a,RETURNED
order-965f033c-6a8e-4a3c-8ee7-5e531346e425,RETURNED
order-9aa8df5a-ceaa-4753-b728-3f108fdee5d5,RETURNED
order-c363bc06-b6d5-4691-ad9f-d889c8484c44,RETURNED
order-7b91550a-d9f0-44e7-8dcf-b86106949cda,RETURNED
order-f670ccc8-fc2c-4696-bceb-efaa1782b5ce,RETURNED
order-ee214545-1ca5-4c70-bfd3-f5b08b5a7dc1,RETURNED
order-c69d3979-2f00-4460-b422-0133a9e7f6fa,RETURNED
order-00e5d11e-2c62-4f24-8a36-b5a9a7f89181,RETURNED
order-07190722-d9b0-41d1-9eb0-9468a7dab5d1,RETURNED
order-7106992b-2ac2-4806-8536-070bc6ac86ae,RETURNED
order-f665ed74-15ea-4ae7-b7e1-de05de211860,RETURNED
order-b65070c3-b118-4588-9ac4-12d49086cd03,RETURNED
order-212fe815-75e2-4095-9fa6-fbb2e103e815,RETURNED
order-4ba5fdee-8bad-457d-b552-ec7ff770a218,RETURNED
order-bd000729-86ef-4c23-92fb-3a0958771152,RETURNED
order-bb98f0f7-7255-4027-9118-7a2ec4aaa695,RETURNED
order-9b2ed25f-49ad-4364-aa85-e0588e1519f1,RETURNED
order-e4a6a3ce-0e90-4692-8cb0-eb3322e9ed3e,RETURNED
order-2de01587-a11e-4e01-9152-f23713004e8a,RETURNED
order-3e4a68d9-764f-465b-b655-25f92fca06d4,RETURNED
order-aa76213c-cafa-484f-9370-84df05c45dcb,RETURNED
order-22e6e4ca-e224-438a-bcfa-58a3be96d30a,RETURNED
order-96740e66-7876-445d-a581-eba51114de4d,RETURNED
order-de07ccd8-a5f6-4734-9127-17313736e516,RETURNED
order-fdc27435-37a1-4a15-b111-f8b2b0e613f8,RETURNED
order-56b1ee94-88b7-4ff4-85a7-f3664eab7a04,RETURNED
order-2b26f4c2-e5fe-47f8-9eb6-d458787c38a0,RETURNED
order-bd672db8-8dfe-46a1-878e-abda41ec6ff7,RETURNED
order-6b23f4e7-e0ac-45e9-8ead-16a5c3ef3e20,RETURNED
order-51cd3b7f-67b1-4cf8-a68f-8a109ccce4ab,RETURNED
order-fc3e5cf3-267e-49fa-af66-f9f86c341d1c,RETURNED
order-78949ab6-6cb4-40be-ab10-a5ecdaf408b1,RETURNED
order-4b5ccc96-34d6-435e-b2f3-1e77f4ca4bf1,RETURNED
order-a3ecffde-8316-49a8-adf4-605e2205be4c,RETURNED
order-aab3bcba-098a-4fe7-8710-fe1d2a0417a5,RETURNED
order-68b41bfc-ab5f-461f-bbfd-1b4576e79fc2,RETURNED
